temps,distance mesurée,vitesse rotation,bits envoyés
0.0,0,0,246
0.1007301807403564,0,0,246
0.2016077041625977,0,0,246
0.3023371696472168,0,0,246
0.4030365943908691,0,0,246
0.503798246383667,0,0,246
0.604529619216919,0,0,246
0.705258846282959,0,0,246
0.8059592247009277,0,0,246
0.9066910743713379,0,0,246
1.007450580596924,0,0,246
1.108150959014893,0,0,246
1.208881378173828,0,0,246
1.309643268585205,0,0,246
1.41034197807312,0,0,246
1.511103630065918,0,0,242
1.611804485321045,0,0,238
1.712550401687622,0,0,234
1.813296318054199,0,0,202
1.913996458053589,0,0,185
2.01476001739502,0,0,172
2.115458011627197,0,0,163
2.216218709945679,0,0,161
2.31691837310791,0,0,161
2.41767954826355,0,0,161
2.518409967422485,0,0,161
2.61911153793335,0,0,161
2.719867467880249,0,0,161
2.820605039596558,0,0,161
2.921332836151123,0,0,161
3.022032976150513,0,0,161
