vitesse_moyenne,tension_moyenne_mesurée
50.65441012382507,0.07878000000000002
36.17334008216858,0.08408
28.82351040840149,0.08639999999999999
18.45702886581421,0.08996
31.38493537902832,0.08898
22.19250202178955,0.08936
35.03138780593872,0.088
13.553147315979,0.08878
19.56411242485046,0.10502
18.58040809631348,0.10636
12.50055313110352,0.08914
24.18163537979126,0.08976
23.38719487190247,0.08878
11.70923829078674,0.08428000000000001
23.29980373382568,0.0886
22.40844011306763,0.0876
22.18912124633789,0.08857999999999999
16.6889488697052,0.08838
16.27090573310852,0.1009
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
